DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,LICENSE DESCRIPTION,LATITUDE,LONGITUDE,LOCATION
BIG,151 E WACKER DR  SKYWA,CHICAGO,IL,60601,Late Hour,41.88799989,-87.62256513,"(41.88799988734853, -87.62256513255957)"
OAKWOOD '83,1959 W MONTROSE AVE 1ST #,CHICAGO,IL,60613,Late Hour,41.96135532,-87.67830516,"(41.96135532131147, -87.67830515937477)"
EL MEXICO MODERN BALLROOM INC,1643-1647 N CICERO AVE 1 & 2 BANQU,CHICAGO,IL,60639,Late Hour,41.91093117,-87.74575021,"(41.91093116886587, -87.74575021004954)"
HOUSE OF BLUES,329 N DEARBORN ST  ENTIR,CHICAGO,IL,60610,Late Hour,41.88830123,-87.62940669,"(41.88830122742548, -87.62940669235189)"
"OASIS, THE",6809-6813 N SHERIDAN RD 1ST,CHICAGO,IL,60626,Late Hour,42.0058719,-87.66085203,"(42.005871902451084, -87.66085202755195)"
CLUB VOLKAN,2501-2513 S KEDZIE AVE,CHICAGO,IL,60623,Late Hour,41.84624564,-87.70494537,"(41.846245643861586, -87.70494537233583)"
GROUCHO'S BAR & GRILL,8355 S PULASKI RD,CHICAGO,IL,60652,Late Hour,41.74051514,-87.72147836,"(41.74051514320914, -87.72147836324686)"
MOTHER HUBBARDS,5 W HUBBARD ST 1,CHICAGO,IL,60654,Late Hour,41.8899516,-87.6282288,"(41.889951601607, -87.6282287976515)"
Trace,3714 N CLARK ST 1ST,CHICAGO,IL,60613,Late Hour,41.94941728,-87.6584683,"(41.949417278444706, -87.6584683031439)"
LATE BAR,3534 W BELMONT AVE,CHICAGO,IL,60618,Late Hour,41.93933805,-87.71639719,"(41.93933804928447, -87.71639718488446)"
UNDERGROUND WONDER BAR,710 N CLARK ST,CHICAGO,IL,60610,Late Hour,41.89523179,-87.6313589,"(41.8952317861976, -87.63135889968055)"
NIKKI,1543 N KINGSBURY ST,CHICAGO,IL,60642,Late Hour,41.90935409,-87.65266996,"(41.90935409448982, -87.65266995863112)"
TAI'S,3611 N ASHLAND AVE,CHICAGO,IL,60613,Late Hour,41.94736626,-87.66871998,"(41.94736626113999, -87.6687199756798)"
THE OWL BAR,2521 N MILWAUKEE AVE 1ST,CHICAGO,IL,60647,Late Hour,41.92725099,-87.70420335,"(41.927250990177676, -87.7042033510881)"
RITCHIE'S,2748 W 59TH ST,CHICAGO,IL,60629,Late Hour,41.78652677,-87.69311456,"(41.78652676834002, -87.69311455891014)"
THE MID,306 N HALSTED ST 1,CHICAGO,IL,60661,Late Hour,41.88702465,-87.64765954,"(41.887024646067374, -87.64765954319624)"
THE HIDDEN COVE,5338 N LINCOLN AVE 1,CHICAGO,IL,60625,Late Hour,41.97885403,-87.69278877,"(41.978854032341516, -87.69278877219502)"
ONTOURAGE,157 W ONTARIO ST,CHICAGO,IL,60610,Late Hour,41.89308814,-87.63341655,"(41.893088139940794, -87.63341655218103)"
